KodWojewodztwo;KodyPowiatow
32;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,61000,62000,63000
2;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,61000,62000,63000,64000,65000
4;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,61000,62000,63000,64000
6;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,61000,62000,63000,64000
8;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,61000,62000
10;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,61000,62000,63000
12;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,61000,62000,63000
14;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,32000,33000,34000,35000,36000,37000,38000,61000,62000,63000,64000,65000
16;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,61000
18;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,61000,62000,63000,64000
20;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,61000,62000,63000
22;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,61000,62000,63000,64000
24;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,61000,62000,63000,64000,65000,66000,67000,68000,69000,70000,71000,72000,73000,74000,75000,76000,77000,78000,79000
26;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,61000
28;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,61000,62000
30;1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,61000,62000,63000,64000
